jurisdiccion,año,casos,pob
Buenos Aires,2015,1513,16626374
Buenos Aires,2016,957,16789474
CABA,2015,901,3054237
CABA,2016,427,3050000
Catamarca,2015,69,396552
Catamarca,2016,51,401575
Chaco,2015,15,1153846
Chaco,2016,9,1125000
Chubut,2015,110,567010
Chubut,2016,89,577922
Cordoba,2015,468,3572519
Cordoba,2016,368,3607843
Corrientes,2015,114,1065421
Corrientes,2016,99,1076087
Entre Rios,2015,144,1321101
Entre Rios,2016,109,1329268
Formosa,2015,64,581818
Formosa,2016,60,582524
Jujuy,2015,160,727273
Jujuy,2016,133,734807
La Pampa,2015,57,343373
La Pampa,2016,67,345361
La Rioja,2015,41,369369
La Rioja,2016,6,375000
Mendoza,2015,316,1880952
Mendoza,2016,254,1909774
Misiones,2015,26,1181818
Misiones,2016,63,1211538
Neuquen,2015,109,619318
Neuquen,2016,101,627329
Rio Negro,2015,112,700000
Rio Negro,2016,105,709459
Salta,2015,243,1335165
Salta,2016,230,1352941
San Juan,2015,96,738462
San Juan,2016,94,746032
San Luis,2015,68,475524
San Luis,2016,76,484076
Santa Cruz,2015,65,320197
Santa Cruz,2016,59,329609
Santa Fe,2015,301,3382022
Santa Fe,2016,170,3400000
Santiago del Estero,2015,83,932584
Santiago del Estero,2016,35,945946
Tierra del Fuego,2015,36,152542
Tierra del Fuego,2016,34,156682
Tucuman,2015,258,1592593
Tucuman,2016,246,1618421
